predecessor,successor,quantity
N002958,N001273,0.055999999999999994
N002262,N001273,0.006
N001808,N001273,0.003
N002022,N001273,0.005
N000254,N001273,0.006
N003207,N001273,0.005
N002661,N001273,0.006
N000961,N001273,0.002
N000973,N001273,0.009000000000000001
N003477,N001273,0.009000000000000001
N000177,N001273,0.002
N001719,N001273,0.001
N000929,N001273,0.021
N002433,N001273,0.002
N002627,N001273,0.002
N002019,N001273,0.006999999999999999
N001118,N001273,0.004
N002823,N001273,0.034
N003056,N001273,0.027999999999999997
N003732,N001273,0.003
N002794,N001273,0.002
N000060,N001273,0.018000000000000002
N001705,N001273,0.001
N001696,N001273,0.004
N001134,N001273,0.004
N002894,N001273,0.001
N001823,N001273,0.004
N003164,N001273,0.001
N001703,N001273,0.001
N001727,N001273,0.002
N003632,N001273,0.001
N002966,N001273,0.001
N000194,N001273,0.001
N002223,N001273,0.002
N003202,N001273,0.001
N001606,N001273,0.002
N003019,N001273,0.002
N003349,N001273,0.001
N000681,N001273,0.001
N001834,N001273,0.002
N001777,N001273,0.003
N001535,N001273,0.001
N000922,N001273,0.001
N001300,N001273,0.001
N000226,N001273,0.002
N001229,N001273,0.002
N000871,N001273,0.002
N001121,N001273,0.001
N000187,N001273,0.002
N002282,N001273,0.001
N000504,N001273,1.0
N000181,N001273,3.0
N002838,N001273,1.0
N002774,N001273,2.0
N002110,N001273,1.0
N000291,N001273,2.0
N002495,N001273,1.0
N003621,N001273,2.0
N000497,N001273,1.0
N002292,N001273,4.0
N003563,N001273,1.0
N000907,N001273,1.0
N002856,N001273,1.0
N002335,N001273,1.0
N001582,N001273,1.0
N003321,N001273,1.0
N003737,N001273,1.0
N000951,N001273,1.0
N000437,N001273,1.0
N003572,N001273,1.0
N000894,N001273,1.0
N000576,N001273,2.0
N000785,N001273,1.0
N002460,N001273,2.0
N003493,N001273,1.0
N001186,N001273,1.0
N000395,N001273,1.0
N002255,N001273,1.0
N001031,N001273,1.0
N002216,N001273,1.0
N000947,N001273,7.0
N000463,N001273,1.0
N000034,N001273,1.0
N002751,N001273,1.0
N000829,N001273,1.0
N001746,N001273,2.0
N002609,N001273,1.0
N001527,N001273,1.0
N002684,N001273,1.0
N002877,N001273,1.0
N000997,N001273,1.0
N001879,N001273,1.0
N000070,N001273,1.0
N000301,N001273,1.0
N001308,N001273,1.0
N003055,N001273,1.0
N002167,N001273,1.0
N003238,N001273,1.0
N003614,N001273,1.0
N000831,N001273,2.0
N003532,N001273,1.0
N000390,N001273,1.0
N003355,N001273,2.0
N001161,N001273,1.0
N000201,N001273,1.0
N003341,N001273,1.0
N001880,N001273,1.0
N003828,N001273,1.0
N000620,N001273,0.001
N002182,N001273,0.002
N002340,N001273,0.001
N002747,N001273,0.002
N002977,N001273,0.001
N001103,N001273,0.001
N000236,N001273,0.001
N000991,N001273,0.006
N003613,N001273,0.001
N001024,N001273,0.001
N001765,N001273,0.002
N000093,N001273,0.002
N001261,N001273,0.001
N003744,N001273,0.002
N003123,N001273,0.001
N002123,N001273,0.001
N002254,N001273,0.001
N000327,N001273,0.003
N000132,N001273,0.001
N002127,N001273,0.011000000000000001
N003322,N001273,0.01
N001479,N001273,0.001
N002682,N001273,0.01
N003069,N001273,1.0
N001831,N001273,1.0
N000933,N001273,1.0
N000304,N001273,1.0
N002610,N001273,1.0
N001691,N001273,1.0
N000458,N001273,1.0
N003197,N001273,1.0
N001057,N001273,1.0
N000051,N001273,1.0
N001047,N001273,2.0
N003181,N001273,1.0
N003696,N001273,1.0
N003396,N001273,1.0
N003190,N001273,1.0
N003345,N001273,0.001
N000075,N001273,0.001
N003644,N001273,1.0
N002419,N001273,1.0
N000391,N001273,1.0
N001111,N001273,1.0
N000089,N001273,1.0
N000599,N001273,1.0
N003609,N001273,1.0
N002142,N001273,1.0
N000515,N001273,4.0
N001667,N001273,1.0
N001088,N001273,2.0
N003645,N001273,2.0
N001200,N001273,1.0
N002456,N001273,1.0
N000974,N001273,1.0
N001086,N001661,1.0
N001802,N001661,2.0
N000610,N001661,1.0
N001452,N001661,1.0
N002504,N001661,1.0
N003635,N001661,1.0
N001872,N001661,1.0
N002875,N001661,1.0
N001477,N001661,0.00011
N000839,N001661,0.2
N001907,N001661,0.1
N002440,N001661,0.1
